policy_group,cost_mean,factor
baseline,22.885884111417095,0.8
cvar,25.881548654847908,0.8
cvar-nohys,26.675117044139547,0.8
cvar-nopers,23.01031765240035,0.8
hmean,22.65954810767205,0.8
hmean-hardon,22.610955374637644,0.8
baseline,24.73934515655598,1.0
cvar,28.126265456931243,1.0
cvar-nohys,28.962594530250655,1.0
cvar-nopers,24.873055117678128,1.0
hmean,24.51871730906094,1.0
hmean-hardon,24.463221558665424,1.0
baseline,26.59280620169487,1.2
cvar,30.37098225901457,1.2
cvar-nohys,31.25007201636177,1.2
cvar-nopers,26.735792582955906,1.2
hmean,26.37788651044983,1.2
hmean-hardon,26.3154877426932,1.2
