policy_group,scenario,n_obs,cost_mean,cost_median,cost_sd
baseline,Q1,1152,20.07225879370876,17.04760176245876,7.008324389606609
baseline,Q2,1152,26.35669156280598,22.090926762458757,8.886690161412021
baseline,Q3,1152,21.688794644403206,18.440026762458757,7.607855166833476
baseline,Q4,2304,27.789490390930982,23.51437676245876,9.52145206249156
cvar,Q1,1152,21.76208734929235,18.79715692394513,7.8291631042183
cvar,Q2,1152,30.262469467347906,26.951256923945127,12.81260240388815
cvar,Q3,1152,23.846562132278464,20.61078192394513,8.70260450412622
cvar,Q4,2304,32.38010416786874,27.35710692394513,15.787276361198327
cvar-nohys,Q1,1152,22.470281136153435,19.341019243792324,7.90459857616887
cvar-nohys,Q2,1152,31.301619547611764,27.541169243792325,14.329186160633338
cvar-nohys,Q3,1152,24.507419808028438,21.085894243792325,8.80010960514139
cvar-nohys,Q4,2304,33.266826079729825,27.767719243792325,16.77436053671209
cvar-nopers,Q1,1152,20.18710343365035,16.779902826011458,6.48482927575777
cvar-nopers,Q2,1152,26.65231845101146,21.930152826011458,8.813844434036781
cvar-nopers,Q3,1152,21.769189674969795,17.79495282601146,7.384973767409792
cvar-nopers,Q4,2304,27.878332014379517,23.36667782601146,9.459820303896556
hmean,Q1,1152,19.817752795172048,16.39225019100538,6.576836784283494
hmean,Q2,1152,26.367080486144275,21.533475191005387,8.826573181014888
hmean,Q3,1152,21.441727404547052,17.534600191005385,7.25962638361702
hmean,Q4,2304,27.48351292972066,22.958525191005386,9.435370143262455
hmean-hardon,Q1,1152,19.707488546512643,16.36010291283209,6.430973251985406
hmean-hardon,Q2,1152,26.27716124616542,21.48655291283209,8.780126560638259
hmean-hardon,Q3,1152,21.33578984859598,17.45120291283209,7.213477469663119
hmean-hardon,Q4,2304,27.497834076026535,22.95942791283209,9.394705013100696
baseline,ALL,5760,24.73934515655598,21.78967676245876,9.158911027904598
cvar,ALL,5760,28.126265456931243,23.952431923945127,13.408360272299808
cvar-nohys,ALL,5760,28.962594530250655,24.699394243792327,14.227880177352763
cvar-nopers,ALL,5760,24.873055117678128,21.810502826011458,9.010148644660672
hmean,ALL,5760,24.51871730906094,21.415425191005383,8.992476502543065
hmean-hardon,ALL,5760,24.463221558665424,21.36722791283209,8.954934027626628
