scenario,baseline,policy,apt_base,apt_policy,cvar_base,cvar_policy,delta_apt,delta_cvar
Q1,baseline,hmean,29.639950868055557,29.60605190972222,36.422419827586204,32.8008224137931,-0.03389895833333867,-3.621597413793104
Q2,baseline,hmean,39.811458854166666,40.12676449652778,47.70979051724137,46.11996896551723,0.31530564236111047,-1.5898215517241425
Q3,baseline,hmean,32.26511137152778,32.225639496527776,40.85543620689655,39.185741379310336,-0.03947187500000382,-1.6696948275862127
Q4,baseline,hmean,42.099443359375,41.88924262152778,51.26369480519481,49.5154658008658,-0.2102007378472237,-1.748229004329012
Q1,baseline,cvar,29.639950868055557,33.92435,36.422419827586204,40.75236120689656,4.28439913194444,4.329941379310355
Q2,baseline,cvar,39.811458854166666,47.08353237847222,47.70979051724137,60.21803103448276,7.272073524305554,12.50824051724139
Q3,baseline,cvar,32.26511137152778,37.31968342013889,40.85543620689655,48.43198189655172,5.0545720486111065,7.57654568965517
Q4,baseline,cvar,42.099443359375,49.61125807291666,51.26369480519481,66.03885974025975,7.511814713541661,14.775164935064943
Q1,baseline,hmean-hardon,29.639950868055557,29.50475633680556,36.422419827586204,32.69573620689655,-0.13519453124999714,-3.7266836206896556
Q2,baseline,hmean-hardon,39.811458854166666,40.00826397569445,47.70979051724137,45.63908965517242,0.19680512152778107,-2.0707008620689535
Q3,baseline,hmean-hardon,32.26511137152778,32.083090972222216,40.85543620689655,38.878552586206894,-0.18202039930556424,-1.9768836206896552
Q4,baseline,hmean-hardon,42.099443359375,41.960835286458334,51.26369480519481,49.58945584415584,-0.13860807291666788,-1.6742389610389665
Q1,baseline,cvar-nohys,29.639950868055557,33.952640538194444,36.422419827586204,40.157087068965524,4.312689670138887,3.73466724137932
Q2,baseline,cvar-nohys,39.811458854166666,47.145003038194446,47.70979051724137,60.68934568965516,7.3335441840277795,12.97955517241379
Q3,baseline,cvar-nohys,32.26511137152778,37.24940651041667,40.85543620689655,47.907750862068966,4.984295138888889,7.052314655172417
Q4,baseline,cvar-nohys,42.099443359375,49.569257812500005,51.26369480519481,66.57709134199135,7.469814453125004,15.313396536796539
Q1,baseline,cvar-nopers,29.639950868055557,29.758147656249996,36.422419827586204,32.92173879310345,0.1181967881944388,-3.500681034482753
Q2,baseline,cvar-nopers,39.811458854166666,40.100302256944445,47.70979051724137,45.97930431034483,0.2888434027777791,-1.7304862068965434
Q3,baseline,cvar-nopers,32.26511137152778,32.22271362847222,40.85543620689655,39.52800517241379,-0.042397743055559545,-1.327431034482757
Q4,baseline,cvar-nopers,42.099443359375,42.03908637152777,51.26369480519481,49.45047662337662,-0.06035698784722854,-1.8132181818181863
